Title,Week,List,Rank,Author,Price,ISBN,Previous Rank,Weeks on List
Being a Dog,2/7/2018,Trade Paperback Nonfiction,12,Alexandra Horowitz,17,9781476796024,9,16
Leaders Eat Last,2/7/2018,Trade Paperback Nonfiction,13,Simon Sinek,17,9781591848011,,1
Black Edge,2/7/2018,Trade Paperback Nonfiction,14,Sheelah Kolhatkar,18,9780812985795,,1
Start With Why,2/7/2018,Trade Paperback Nonfiction,15,Simon Sinek,16,9781591846444,,1
The Hate U Give,2/7/2018,Young Adult,1,Angie Thomas,17.99,9780062498533,,
Turtles All the Way Down,2/7/2018,Young Adult,2,John Green,19.99,9780525555360,,
The Hazel Wood,2/7/2018,Young Adult,3,Melissa Albert,16.99,9781250147905,,
The Book of Dust: La Belle Sauvage,2/7/2018,Young Adult,4,Philip Pullman,22.99,9780375815300,,
Simon vs. the Homo Sapiens Agenda,2/7/2018,Young Adult,5,Becky Albertalli,10.99,9780062792167,,
Every Day,2/7/2018,Young Adult,6,David Levithan,10.99,9780525581611,,
Salt to the Sea,2/7/2018,Young Adult,7,Ruta Sepetys,10.99,9780142423622,,
The Cruel Prince,2/7/2018,Young Adult,8,Holly Black,18.99,9780316310277,,
The Book Thief,2/7/2018,Young Adult,9,Markus Zusak,12.99,9780385754729,,
Renegades,2/7/2018,Young Adult,10,Marissa Meyer,19.99,9781250044662,,
"Everything, Everything",2/7/2018,Young Adult,11,Nicola Yoon,10.99,9781524769604,,
Dear Martin,2/7/2018,Young Adult,12,Nic Stone,17.99,9781101939499,,
The Giver,2/7/2018,Young Adult,13,Lois Lowry,9.99,9780544340688,,
One of Us Is Lying,2/7/2018,Young Adult,14,Karen M. McManus,17.99,9781524714680,,
The Fault in Our Stars,2/7/2018,Young Adult,15,John Green,12.99,9780142424179,,
A Wrinkle in Time,2/21/2018,Early & Middle,1,Madeleine L'Engle,8.99,9781250153272,,
Wonder,2/21/2018,Early & Middle,2,R.J. Palacio,16.99,9781524720193,,
The Girl Who Drank the Moon,2/21/2018,Early & Middle,3,Kelly Barnhill,16.95,9781616205676,,
Auggie & Me,2/21/2018,Early & Middle,4,R.J. Palacio,16.99,9781101934852,,
"Hello, Universe",2/21/2018,Early & Middle,5,Erin Entrada Kelly & Isabel Roxas (Illus.),16.99,9780062414151,,
All's Faire in Middle School,2/21/2018,Early & Middle,6,Victoria Jamieson,12.99,9780525429999,,
Drama,2/21/2018,Early & Middle,7,Raina Telgemeier,10.99,9780545326995,,
Sisters,2/21/2018,Early & Middle,8,Raina Telgemeier,10.99,9780545540605,,
Wishtree,2/21/2018,Early & Middle,9,Katherine Applegate,16.99,9781250043221,,
The War That Saved My Life,2/21/2018,Early & Middle,10,Kimberly Brubaker Bradley,8.99,9780147510488,,
Smile,2/21/2018,Early & Middle,11,Raina Telgemeier,10.99,9780545132060,,
Black Panther: The Young Prince,2/21/2018,Early & Middle,12,Ronald L. Smith,16.99,9781484787649,,
Black Panther: The Young Prince,2/21/2018,Early & Middle,13,Jim McCann,6.99,9780316413206,,
Ghosts,2/21/2018,Early & Middle,14,Raina Telgemeier,10.99,9780545540629,,
Roller Girl,2/21/2018,Early & Middle,15,Victoria Jamieson,12.99,9780803740167,,
An American Marriage,2/21/2018,Hardcover Fiction,1,Tayari Jones,26.95,9781616208776,2,2
The Great Alone,2/21/2018,Hardcover Fiction,2,Kristin Hannah,28.99,9780312577230,1,2
The Woman in the Window,2/21/2018,Hardcover Fiction,3,A.J. Finn,26.99,9780062678416,3,7
Little Fires Everywhere,2/21/2018,Hardcover Fiction,4,Celeste Ng,27,9780735224292,6,23
A Gentleman in Moscow,2/21/2018,Hardcover Fiction,5,Amor Towles,27,9780670026197,4,76
The Immortalists,2/21/2018,Hardcover Fiction,6,Chloe Benjamin,26,9780735213180,5,6
"Sing, Unburied, Sing",2/21/2018,Hardcover Fiction,7,Jesmyn Ward,26,9781501126062,7,20
Origin,2/21/2018,Hardcover Fiction,8,Dan Brown,29.95,9780385514231,9,20
Still Me,2/21/2018,Hardcover Fiction,9,Jojo Moyes,27,9780399562457,8,3
The Power,2/21/2018,Hardcover Fiction,10,Naomi Alderman,26,9780316547611,11,7
Manhattan Beach,2/21/2018,Hardcover Fiction,11,Jennifer Egan,27,9781476716732,14,20
White Houses,2/21/2018,Hardcover Fiction,12,Amy Bloom,27,9780812995664,,1
The Wife Between Us,2/21/2018,Hardcover Fiction,13,Greer Hendricks,26.99,9781250130921,10,6
The Rooster Bar,2/21/2018,Hardcover Fiction,14,John Grisham,28.95,9780385541176,12,17
How to Stop Time,2/21/2018,Hardcover Fiction,15,Matt Haig,26,9780525522874,,1
Fire and Fury,2/21/2018,Hardcover Nonfiction,1,Michael Wolff,30,9781250158062,1,7
Astrophysics for People in a Hurry,2/21/2018,Hardcover Nonfiction,2,Neil deGrasse Tyson,18.95,9780393609394,2,42
The Subtle Art of Not Giving A F*ck,2/21/2018,Hardcover Nonfiction,3,Mark Manson,24.99,9780062457714,3,46
The Monk of Mokha,2/21/2018,Hardcover Nonfiction,4,Dave Eggers,28.95,9781101947319,6,3
The Last Black Unicorn,2/21/2018,Hardcover Nonfiction,5,Tiffany Haddish,26,9781501181825,5,8
Enlightenment Now,2/21/2018,Hardcover Nonfiction,6,Steven Pinker,35,9780525427575,,1
Leonardo da Vinci,2/21/2018,Hardcover Nonfiction,7,Walter Isaacson,35,9781501139154,4,18
12 Rules for Life,2/21/2018,Hardcover Nonfiction,8,Jordan B. Peterson,25.95,9780345816023,,1
Hillbilly Elegy,2/21/2018,Hardcover Nonfiction,9,J.D. Vance,27.99,9780062300546,11,77
The Book of Joy,2/21/2018,Hardcover Nonfiction,10,The Dalai Lama,26,9780399185045,14,48
Obama: An Intimate Portrait,2/21/2018,Hardcover Nonfiction,11,Pete Souza,50,9780316512589,8,9
Killers of the Flower Moon,2/21/2018,Hardcover Nonfiction,12,David Grann,28.95,9780385534246,7,33
How Democracies Die,2/21/2018,Hardcover Nonfiction,13,Steven Levitsky,26,9781524762933,10,4
Principles,2/21/2018,Hardcover Nonfiction,14,Ray Dalio,30,9781501124020,9,13
When,2/21/2018,Hardcover Nonfiction,15,Daniel H. Pink,28,9780735210622,12,6
No Middle Name,2/21/2018,Mass Market,1,Lee Child,9.99,9780399593598,1,7
Ready Player One,2/21/2018,Mass Market,2,Ernest Cline,9.99,9780804190145,2,2
The Whistler,2/21/2018,Mass Market,3,John Grisham,9.99,9781101967683,3,32
Dragon Teeth,2/21/2018,Mass Market,4,Michael Crichton,9.99,9780062473363,5,12
The Husband's Secret,2/21/2018,Mass Market,5,Liane Moriarty,9.99,9780451490049,6,31
Never Never,2/21/2018,Mass Market,6,James Patterson,9.99,9781478944782,4,8
12 Strong,2/21/2018,Mass Market,7,Doug Stanton,9.99,9781501179952,,7
What Alice Forgot,2/21/2018,Mass Market,8,Liane Moriarty,9.99,9780451490445,9,7
Against All Odds,2/21/2018,Mass Market,9,Danielle Steel,8.99,9781101883938,7,4
1984,2/21/2018,Mass Market,10,George Orwell,9.99,9780451524935,,175
Lincoln in the Bardo,2/21/2018,Trade Paperback Fiction,1,George Saunders,17,9780812985405,2,2
The Underground Railroad,2/21/2018,Trade Paperback Fiction,2,Colson Whitehead,16.95,9780345804327,1,3
Beartown,2/21/2018,Trade Paperback Fiction,3,Fredrik Backman,17,9781501160776,7,2
Pachinko,2/21/2018,Trade Paperback Fiction,4,Min Jin Lee,15.99,9781455563920,3,14
The Woman in Cabin 10,2/21/2018,Trade Paperback Fiction,5,Ruth Ware,16,9781501132957,5,45
All the Light We Cannot See,2/21/2018,Trade Paperback Fiction,6,Anthony Doerr,17,9781501173219,8,46
We Were the Lucky Ones,2/21/2018,Trade Paperback Fiction,7,Georgia Hunter,16,9780399563096,6,7
Ready Player One,2/21/2018,Trade Paperback Fiction,8,Ernest Cline,16,9780804190138,10,2
The Women in the Castle,2/21/2018,Trade Paperback Fiction,9,Jessica Shattuck,16.99,9780062563675,4,7
The Handmaid's Tale,2/21/2018,Trade Paperback Fiction,10,Margaret Atwood,15.95,9780525435006,9,43
The Sun and Her Flowers,2/21/2018,Trade Paperback Fiction,11,Rupi Kaur,16.99,9781449486792,12,20
Call Me by Your Name,2/21/2018,Trade Paperback Fiction,12,Andre Aciman,17,9781250169440,15,6
Milk and Honey,2/21/2018,Trade Paperback Fiction,13,Rupi Kaur,14.99,9781449474256,13,76
The Couple Next Door,2/21/2018,Trade Paperback Fiction,14,Shari Lapena,16,9780735221109,11,38
The Perfect Nanny,2/21/2018,Trade Paperback Fiction,15,Leila Slimani,16,9780143132172,,4
You Are a Badass,2/21/2018,Trade Paperback Nonfiction,1,Jen Sincero,16,9780762447695,1,135
The Silk Roads,2/21/2018,Trade Paperback Nonfiction,2,Peter Frankopan,20,9781101912379,2,12
12 Strong,2/21/2018,Trade Paperback Nonfiction,3,Doug Stanton,18,9781501178511,3,8
Invisible Influence,2/21/2018,Trade Paperback Nonfiction,4,Jonah Berger,16,9781476759739,4,35
Being Mortal,2/21/2018,Trade Paperback Nonfiction,5,Atul Gawande,16,9781250076229,5,24
HBR's 10 Must Reads on Emotional Intelligence,2/21/2018,Trade Paperback Nonfiction,6,Harvard Business School Press,24.95,9781633690196,7,77
HBR's 10 Must Reads on Managing Yourself,2/21/2018,Trade Paperback Nonfiction,7,Harvard Business School Press,24.95,9781422157992,8,57
Evicted,2/21/2018,Trade Paperback Nonfiction,8,Matthew Desmond,17,9780553447453,9,40
How to Love,2/21/2018,Trade Paperback Nonfiction,9,Thich Nhat Hanh,9.95,9781937006884,13,21
Black Edge,2/21/2018,Trade Paperback Nonfiction,10,Sheelah Kolhatkar,18,9780812985795,14,3
The Lost City of the Monkey God,2/21/2018,Trade Paperback Nonfiction,11,Douglas J. Preston,15.99,9781455540013,6,23
Start With Why,2/21/2018,Trade Paperback Nonfiction,12,Simon Sinek,16,9781591846444,11,3
The Undoing Project,2/21/2018,Trade Paperback Nonfiction,13,Michael Lewis,16.95,9780393354775,10,16
On Tyranny,2/21/2018,Trade Paperback Nonfiction,14,Timothy Snyder,7.99,9780804190114,,48
We Should All Be Feminists,2/21/2018,Trade Paperback Nonfiction,15,Chimamanda Ngozi Adichie,7.95,9781101911761,,80
The Hate U Give,2/21/2018,Young Adult,1,Angie Thomas,17.99,9780062498533,,
Turtles All the Way Down,2/21/2018,Young Adult,2,John Green,19.99,9780525555360,,
Every Day,2/21/2018,Young Adult,3,David Levithan,10.99,9780525581611,,
Simon vs. the Homo Sapiens Agenda,2/21/2018,Young Adult,4,Becky Albertalli,10.99,9780062792167,,
Tempests and Slaughter,2/21/2018,Young Adult,5,Tamora Pierce,18.99,9780375847110,,
The Book of Dust: La Belle Sauvage,2/21/2018,Young Adult,6,Philip Pullman,22.99,9780375815300,,
The Prince and the Dressmaker,2/21/2018,Young Adult,7,Jen Wang,16.99,9781626723634,,
The Cruel Prince,2/21/2018,Young Adult,8,Holly Black,18.99,9780316310277,,
We Are Okay,2/21/2018,Young Adult,9,Nina LaCour,17.99,9780525425892,,
Salt to the Sea,2/21/2018,Young Adult,10,Ruta Sepetys,10.99,9780142423622,,
Long Way Down,2/21/2018,Young Adult,11,Jason Reynolds,17.99,9781481438254,,
"Everything, Everything",2/21/2018,Young Adult,12,Nicola Yoon,10.99,9781524769604,,
The Fault in Our Stars,2/21/2018,Young Adult,13,John Green,12.99,9780142424179,,
The Book Thief,2/21/2018,Young Adult,14,Markus Zusak,12.99,9780385754729,,
Dear Martin,2/21/2018,Young Adult,15,Nic Stone,17.99,9781101939499,,
A Wrinkle in Time,3/7/2018,Early & Middle,1,Madeleine L'Engle,8.99,9781250153272,,
Wonder,3/7/2018,Early & Middle,2,R.J. Palacio,16.99,9781524720193,,
"Hello, Universe",3/7/2018,Early & Middle,3,Erin Entrada Kelly & Isabel Roxas (Illus.),16.99,9780062414151,,
"Baby Monkey, Private Eye",3/7/2018,Early & Middle,4,Brian Selznick,16.99,9781338180619,,
Auggie & Me,3/7/2018,Early & Middle,5,R.J. Palacio,16.99,9781101934852,,
Black Panther: The Young Prince,3/7/2018,Early & Middle,6,Ronald L. Smith,16.99,9781484787649,,
The Girl Who Drank the Moon,3/7/2018,Early & Middle,7,Kelly Barnhill,16.95,9781616205676,,
Marvel's Black Panther: The Junior Novel,3/7/2018,Early & Middle,8,Jim McCann,6.99,9780316413206,,
Drama,3/7/2018,Early & Middle,9,Raina Telgemeier,10.99,9780545326995,,
The War That Saved My Life,3/7/2018,Early & Middle,10,Kimberly Brubaker Bradley,8.99,9780147510488,,
A Wind in the Door,3/7/2018,Early & Middle,11,Madeleine L'Engle,6.99,9780312368548,,
Wishtree,3/7/2018,Early & Middle,12,Katherine Applegate,16.99,9781250043221,,
Ghosts,3/7/2018,Early & Middle,13,Raina Telgemeier,10.99,9780545540629,,
Sisters,3/7/2018,Early & Middle,14,Raina Telgemeier,10.99,9780545540605,,
Smile,3/7/2018,Early & Middle,15,Raina Telgemeier,10.99,9780545132060,,
A Wrinkle in Time,3/14/2018,Early & Middle,1,Madeleine L'Engle,8.99,9781250153272,,
Wonder,3/14/2018,Early & Middle,2,R.J. Palacio,16.99,9781524720193,,
"Hello, Universe",3/14/2018,Early & Middle,3,Erin Entrada Kelly,16.99,9780062414151,,
Black Panther: The Young Prince,3/14/2018,Early & Middle,4,Ronald L. Smith,16.99,9781484787649,,
The War That Saved My Life,3/14/2018,Early & Middle,5,Kimberly Brubaker Bradley,8.99,9780147510488,,
A Wrinkle in Time: The Graphic Novel,3/14/2018,Early & Middle,6,Madeleine L'Engle,15.99,9781250056948,,
A Wind in the Door,3/14/2018,Early & Middle,7,Madeleine L'Engle,6.99,9780312368548,,
Drama,3/14/2018,Early & Middle,8,Raina Telgemeier,10.99,9780545326995,,
Marvel's Black Panther: The Junior Novel,3/14/2018,Early & Middle,9,Jim McCann,6.99,9780316413206,,
The Girl Who Drank the Moon,3/14/2018,Early & Middle,10,Kelly Barnhill,16.95,9781616205676,,
Smile,3/14/2018,Early & Middle,11,Raina Telgemeier,10.99,9780545132060,,
Black Panther: The Battle for Wakanda,3/14/2018,Early & Middle,12,Brandon T. Snider,5.99,9781368020145,,
Auggie & Me,3/14/2018,Early & Middle,13,R.J. Palacio,16.99,9781101934852,,
Sisters,3/14/2018,Early & Middle,14,Raina Telgemeier,10.99,9780545540605,,
"Baby Monkey, Private Eye",3/14/2018,Early & Middle,15,Brian Selznick,16.99,9781338180619,,
A Wrinkle in Time,3/21/2018,Early & Middle,1,Madeleine L'Engle,8.99,9781250153272,,
Wonder,3/21/2018,Early & Middle,2,R.J. Palacio,16.99,9781524720193,,
"Hello, Universe",3/21/2018,Early & Middle,3,Erin Entrada Kelly,16.99,9780062414151,,
A Wind in the Door,3/21/2018,Early & Middle,4,Madeleine L'Engle,6.99,9780312368548,,
The Girl Who Drank the Moon,3/21/2018,Early & Middle,5,Kelly Barnhill,16.95,9781616205676,,
A Wrinkle in Time: The Graphic Novel,3/21/2018,Early & Middle,6,Madeleine L'Engle,15.99,9781250056948,,
Auggie & Me,3/21/2018,Early & Middle,7,R.J. Palacio,16.99,9781101934852,,
Smile,3/21/2018,Early & Middle,8,Raina Telgemeier,10.99,9780545132060,,
Drama,3/21/2018,Early & Middle,9,Raina Telgemeier,10.99,9780545326995,,
Black Panther: The Battle for Wakanda,3/21/2018,Early & Middle,10,Brandon T. Snider,5.99,9781368020145,,
Marvel's Black Panther: The Junior Novel,3/21/2018,Early & Middle,11,Jim McCann,6.99,9780316413206,,
Sisters,3/21/2018,Early & Middle,12,Raina Telgemeier,10.99,9780545540605,,
"Baby Monkey, Private Eye",3/21/2018,Early & Middle,13,Brian Selznick,16.99,9781338180619,,
The War That Saved My Life,3/21/2018,Early & Middle,14,Kimberly Brubaker Bradley,8.99,9780147510488,,
Wishtree,3/21/2018,Early & Middle,15,Katherine Applegate,16.99,9781250043221,,
A Wrinkle in Time,3/28/2018,Early & Middle,1,Madeleine L'Engle,8.99,9781250153272,,
Wonder,3/28/2018,Early & Middle,2,R.J. Palacio,16.99,9781524720193,,
"Hello, Universe",3/28/2018,Early & Middle,3,Erin Entrada Kelly,16.99,9780062414151,,
A Wind in the Door,3/28/2018,Early & Middle,4,Madeleine L'Engle,6.99,9780312368548,,
Drama,3/28/2018,Early & Middle,5,Raina Telgemeier,10.99,9780545326995,,
A Wrinkle in Time: The Graphic Novel,3/28/2018,Early & Middle,6,Madeleine L'Engle,15.99,9781250056948,,
Black Panther: The Battle for Wakanda,3/28/2018,Early & Middle,7,Brandon T. Snider,5.99,9781368020145,,
Smile,3/28/2018,Early & Middle,8,Raina Telgemeier,10.99,9780545132060,,
Sisters,3/28/2018,Early & Middle,9,Raina Telgemeier,10.99,9780545540605,,
The War That Saved My Life,3/28/2018,Early & Middle,10,Kimberly Brubaker Bradley,8.99,9780147510488,,
Marvel's Black Panther: The Junior Novel,3/28/2018,Early & Middle,11,Jim McCann,6.99,9780316413206,,
Ghosts,3/28/2018,Early & Middle,12,Raina Telgemeier,10.99,9780545540629,,
The Girl Who Drank the Moon,3/28/2018,Early & Middle,13,Kelly Barnhill,16.95,9781616205676,,
"Baby Monkey, Private Eye",3/28/2018,Early & Middle,14,Brian Selznick,16.99,9781338180619,,
"The Inquisitor's Tale: Or, the Three Magical Children and Their Holy Dog",3/28/2018,Early & Middle,15,Adam Gidwitz,9.99,9780142427378,,
The Great Alone,3/7/2018,Hardcover Fiction,1,Kristin Hannah,28.99,9780312577230,2,4
An American Marriage,3/7/2018,Hardcover Fiction,2,Tayari Jones,26.95,9781616208776,1,4
Little Fires Everywhere,3/7/2018,Hardcover Fiction,3,Celeste Ng,27,9780735224292,5,25
The Woman in the Window,3/7/2018,Hardcover Fiction,4,A.J. Finn,26.99,9780062678416,3,9
A Gentleman in Moscow,3/7/2018,Hardcover Fiction,5,Amor Towles,27,9780670026197,4,78
The Immortalists,3/7/2018,Hardcover Fiction,6,Chloe Benjamin,26,9780735213180,6,8
Origin,3/7/2018,Hardcover Fiction,7,Dan Brown,29.95,9780385514231,10,22
"Sing, Unburied, Sing",3/7/2018,Hardcover Fiction,8,Jesmyn Ward,26,9781501126062,7,22
The Power,3/7/2018,Hardcover Fiction,9,Naomi Alderman,26,9780316547611,8,9
Chicago,3/7/2018,Hardcover Fiction,10,David Mamet,26.99,9780062797193,,1
Still Me,3/7/2018,Hardcover Fiction,11,Jojo Moyes,27,9780399562457,9,5
White Houses,3/7/2018,Hardcover Fiction,12,Amy Bloom,27,9780812995664,13,3
How to Stop Time,3/7/2018,Hardcover Fiction,13,Matt Haig,26,9780525522874,11,3
Manhattan Beach,3/7/2018,Hardcover Fiction,14,Jennifer Egan,27,9781476716732,12,22
The Wife Between Us,3/7/2018,Hardcover Fiction,15,Greer Hendricks,26.99,9781250130921,,7
Little Fires Everywhere,3/14/2018,Hardcover Fiction,1,Celeste Ng,27,9780735224292,3,26
An American Marriage,3/14/2018,Hardcover Fiction,2,Tayari Jones,26.95,9781616208776,2,4
The Great Alone,3/14/2018,Hardcover Fiction,3,Kristin Hannah,28.99,9780312577230,1,5
A Gentleman in Moscow,3/14/2018,Hardcover Fiction,4,Amor Towles,27,9780670026197,5,79
The Woman in the Window,3/14/2018,Hardcover Fiction,5,A.J. Finn,26.99,9780062678416,4,10
The Power,3/14/2018,Hardcover Fiction,6,Naomi Alderman,26,9780316547611,9,10
The Immortalists,3/14/2018,Hardcover Fiction,7,Chloe Benjamin,26,9780735213180,6,9
The Escape Artist,3/14/2018,Hardcover Fiction,8,Brad Meltzer,28,9781455559527,,1
"Sing, Unburied, Sing",3/14/2018,Hardcover Fiction,9,Jesmyn Ward,26,9781501126062,8,23
Chicago,3/14/2018,Hardcover Fiction,10,David Mamet,26.99,9780062797193,10,2
Origin,3/14/2018,Hardcover Fiction,11,Dan Brown,29.95,9780385514231,7,23
Still Me,3/14/2018,Hardcover Fiction,12,Jojo Moyes,27,9780399562457,11,6
White Houses,3/14/2018,Hardcover Fiction,13,Amy Bloom,27,9780812995664,12,4
How to Stop Time,3/14/2018,Hardcover Fiction,14,Matt Haig,26,9780525522874,13,4
Before We Were Yours,3/14/2018,Hardcover Fiction,15,Lisa Wingate,26,9780425284681,,1
Little Fires Everywhere,3/21/2018,Hardcover Fiction,1,Celeste Ng,27,9780735224292,1,27
The Great Alone,3/21/2018,Hardcover Fiction,2,Kristin Hannah,28.99,9780312577230,3,6
An American Marriage,3/21/2018,Hardcover Fiction,3,Tayari Jones,26.95,9781616208776,2,5
A Gentleman in Moscow,3/21/2018,Hardcover Fiction,4,Amor Towles,27,9780670026197,4,80
The Woman in the Window,3/21/2018,Hardcover Fiction,5,A.J. Finn,26.99,9780062678416,5,11
The Flight Attendant,3/21/2018,Hardcover Fiction,6,Chris Bohjalian,26.95,9780385542418,,1
The Power,3/21/2018,Hardcover Fiction,7,Naomi Alderman,26,9780316547611,6,11
The Immortalists,3/21/2018,Hardcover Fiction,8,Chloe Benjamin,26,9780735213180,7,10
Origin,3/21/2018,Hardcover Fiction,9,Dan Brown,29.95,9780385514231,11,24
Chicago,3/21/2018,Hardcover Fiction,10,David Mamet,26.99,9780062797193,10,3
The Escape Artist,3/21/2018,Hardcover Fiction,11,Brad Meltzer,28,9781455559527,8,2
"Sing, Unburied, Sing",3/21/2018,Hardcover Fiction,12,Jesmyn Ward,26,9781501126062,9,24
White Houses,3/21/2018,Hardcover Fiction,13,Amy Bloom,27,9780812995664,13,5
Still Me,3/21/2018,Hardcover Fiction,14,Jojo Moyes,27,9780399562457,12,7
Before We Were Yours,3/21/2018,Hardcover Fiction,15,Lisa Wingate,26,9780425284681,15,2
Little Fires Everywhere,3/28/2018,Hardcover Fiction,1,Celeste Ng,27,9780735224292,1,28
An American Marriage,3/28/2018,Hardcover Fiction,2,Tayari Jones,26.95,9781616208776,3,6
The Great Alone,3/28/2018,Hardcover Fiction,3,Kristin Hannah,28.99,9780312577230,2,7
A Gentleman in Moscow,3/28/2018,Hardcover Fiction,4,Amor Towles,27,9780670026197,4,81
The Woman in the Window,3/28/2018,Hardcover Fiction,5,A.J. Finn,26.99,9780062678416,5,12
The Flight Attendant,3/28/2018,Hardcover Fiction,6,Chris Bohjalian,26.95,9780385542418,6,2
The Punishment She Deserves,3/28/2018,Hardcover Fiction,7,Elizabeth George,28,9780525954347,,1
The Power,3/28/2018,Hardcover Fiction,8,Naomi Alderman,26,9780316547611,7,12
"Sing, Unburied, Sing",3/28/2018,Hardcover Fiction,9,Jesmyn Ward,26,9781501126062,12,25
The Escape Artist,3/28/2018,Hardcover Fiction,10,Brad Meltzer,28,9781455559527,11,3
The Temptation of Forgiveness,3/28/2018,Hardcover Fiction,11,Donna Leon,26,9780802127754,,1
The Immortalists,3/28/2018,Hardcover Fiction,12,Chloe Benjamin,26,9780735213180,8,11
Origin,3/28/2018,Hardcover Fiction,13,Dan Brown,29.95,9780385514231,9,25
Alternate Side,3/28/2018,Hardcover Fiction,14,Anna Quindlen,28,9780812996067,,1
Chicago,3/28/2018,Hardcover Fiction,15,David Mamet,26.99,9780062797193,10,4
Fire and Fury,3/7/2018,Hardcover Nonfiction,1,Michael Wolff,30,9781250158062,1,9
Educated,3/7/2018,Hardcover Nonfiction,2,Tara Westover,28,9780399590504,4,2
The Subtle Art of Not Giving A F*ck,3/7/2018,Hardcover Nonfiction,3,Mark Manson,24.99,9780062457714,3,48
Astrophysics for People in a Hurry,3/7/2018,Hardcover Nonfiction,4,Neil deGrasse Tyson,18.95,9780393609394,2,44
I've Been Thinking . . .,3/7/2018,Hardcover Nonfiction,5,Maria Shriver,20,9780525522607,,1
Enlightenment Now,3/7/2018,Hardcover Nonfiction,6,Steven Pinker,35,9780525427575,5,3
Obama: An Intimate Portrait,3/7/2018,Hardcover Nonfiction,7,Pete Souza,50,9780316512589,13,11
Killers of the Flower Moon,3/7/2018,Hardcover Nonfiction,8,David Grann,28.95,9780385534246,10,35
12 Rules for Life,3/7/2018,Hardcover Nonfiction,9,Jordan B. Peterson,25.95,9780345816023,7,3
The Last Black Unicorn,3/7/2018,Hardcover Nonfiction,10,Tiffany Haddish,26,9781501181825,8,10
Leonardo da Vinci,3/7/2018,Hardcover Nonfiction,11,Walter Isaacson,35,9781501139154,6,20
Principles,3/7/2018,Hardcover Nonfiction,12,Ray Dalio,30,9781501124020,11,15
"The Future of Humanity: Terraforming Mars, Interstellar Travel, Immortality, and Our Destiny Beyond Earth",3/7/2018,Hardcover Nonfiction,13,Michio Kaku,29.95,9780385542760,,1
I'll Be Gone in the Dark,3/7/2018,Hardcover Nonfiction,14,Michelle McNamara,27.99,9780062319784,,1
Hillbilly Elegy,3/7/2018,Hardcover Nonfiction,15,J.D. Vance,27.99,9780062300546,9,79
The Subtle Art of Not Giving A F*ck,3/14/2018,Hardcover Nonfiction,1,Mark Manson,24.99,9780062457714,3,49
Astrophysics for People in a Hurry,3/14/2018,Hardcover Nonfiction,2,Neil deGrasse Tyson,18.95,9780393609394,4,45
Fire and Fury,3/14/2018,Hardcover Nonfiction,3,Michael Wolff,30,9781250158062,1,10
Educated,3/14/2018,Hardcover Nonfiction,4,Tara Westover,28,9780399590504,2,3
Enlightenment Now,3/14/2018,Hardcover Nonfiction,5,Steven Pinker,35,9780525427575,6,4
The Last Black Unicorn,3/14/2018,Hardcover Nonfiction,6,Tiffany Haddish,26,9781501181825,10,11
Obama: An Intimate Portrait,3/14/2018,Hardcover Nonfiction,7,Pete Souza,50,9780316512589,7,12
I've Been Thinking . . .,3/14/2018,Hardcover Nonfiction,8,Maria Shriver,20,9780525522607,5,2
12 Rules for Life,3/14/2018,Hardcover Nonfiction,9,Jordan B. Peterson,25.95,9780345816023,9,4
Killers of the Flower Moon,3/14/2018,Hardcover Nonfiction,10,David Grann,28.95,9780385534246,8,36
Leonardo da Vinci,3/14/2018,Hardcover Nonfiction,11,Walter Isaacson,35,9781501139154,11,21
Principles,3/14/2018,Hardcover Nonfiction,12,Ray Dalio,30,9781501124020,12,16
The Common Good,3/14/2018,Hardcover Nonfiction,13,Robert B. Reich,22.95,9780525520498,,1
I'll Be Gone in the Dark,3/14/2018,Hardcover Nonfiction,14,Michelle McNamara,27.99,9780062319784,14,2
Hillbilly Elegy,3/14/2018,Hardcover Nonfiction,15,J.D. Vance,27.99,9780062300546,15,80
Little Fires Everywhere,3/21/2018,Hardcover Nonfiction,1,Celeste Ng,27,9780735224292,1,27
The Great Alone,3/21/2018,Hardcover Nonfiction,2,Kristin Hannah,28.99,9780312577230,3,6
An American Marriage,3/21/2018,Hardcover Nonfiction,3,Tayari Jones,26.95,9781616208776,2,5
A Gentleman in Moscow,3/21/2018,Hardcover Nonfiction,4,Amor Towles,27,9780670026197,4,80
The Woman in the Window,3/21/2018,Hardcover Nonfiction,5,A.J. Finn,26.99,9780062678416,5,11
The Flight Attendant,3/21/2018,Hardcover Nonfiction,6,Chris Bohjalian,26.95,9780385542418,,1
The Power,3/21/2018,Hardcover Nonfiction,7,Naomi Alderman,26,9780316547611,6,11
The Immortalists,3/21/2018,Hardcover Nonfiction,8,Chloe Benjamin,26,9780735213180,7,10
Origin,3/21/2018,Hardcover Nonfiction,9,Dan Brown,29.95,9780385514231,11,24
Chicago,3/21/2018,Hardcover Nonfiction,10,David Mamet,26.99,9780062797193,10,3
The Escape Artist,3/21/2018,Hardcover Nonfiction,11,Brad Meltzer,28,9781455559527,8,2
"Sing, Unburied, Sing",3/21/2018,Hardcover Nonfiction,12,Jesmyn Ward,26,9781501126062,9,24
White Houses,3/21/2018,Hardcover Nonfiction,13,Amy Bloom,27,9780812995664,13,5
Still Me,3/21/2018,Hardcover Nonfiction,14,Jojo Moyes,27,9780399562457,12,7
